# Constructed from biom file
#OTU ID	B1C1a	B1C2a	B1C3a	B1C4a	B1O2b	B1O1b	taxonomy	KEGG_Description
K07552	404.0	390.0	370.0	536.0	680.0	504.0	0.0	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein
K06319	0.0	0.0	0.0	0.0	1.0	0.0	0.0	spore maturation protein CgeA
K09909	0.0	0.0	0.0	0.0	8.0	0.0	0.0	hypothetical protein
K09908	1.0	0.0	1.0	0.0	8.0	0.0	0.0	hypothetical protein
K12051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ComB7 competence protein
K12050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	ComB8 competence protein
K12057	6.0	8.0	12.0	10.0	33.0	10.0	0.0	conjugal transfer pilus assembly protein TraF
K12056	6.0	8.0	12.0	10.0	33.0	10.0	0.0	conjugal transfer mating pair stabilization protein TraG
K06221	31.0	30.0	24.0	40.0	57.0	38.0	0.0	2,5-diketo-D-gluconate reductase A [EC:1.1.1.274]
K09900	1.0	0.0	0.0	0.0	0.0	0.0	0.0	hypothetical protein
K09903	672.0	688.0	624.0	970.0	1124.0	847.0	0.0	uridylate kinase [EC:2.7.4.22]
K09902	1.0	0.0	2.0	1.0	11.0	0.0	0.0	hypothetical protein
K09904	1.0	0.0	0.0	0.0	8.0	0.0	0.0	hypothetical protein
K09907	1.0	0.0	0.0	0.0	8.0	0.0	0.0	hypothetical protein
K09906	1.0	0.0	0.0	0.0	8.0	0.0	0.0	hypothetical protein
K11501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	centromere protein I
K03234	2.0	2.0	1.0	6.0	4.0	4.0	0.0	elongation factor EF-2 [EC:3.6.5.3]; elongation factor 2
K00773	630.0	655.0	589.0	871.0	1107.0	824.0	0.0	queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K00772	435.0	496.0	464.0	727.0	813.0	562.0	0.0	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
K00777	4.0	4.0	2.0	4.0	6.0	3.0	0.0	None
K00776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NAD-diphthamide ADP-ribosyltransferase [EC:2.4.2.36]
K06313	5.0	9.0	14.0	24.0	23.0	13.0	0.0	spore germination protein
K06315	2.0	4.0	9.0	14.0	8.0	4.0	0.0	transcriptional regulator of the spore photoproduct lyase operon
K05574	0.0	6.0	4.0	3.0	28.0	3.0	0.0	NADH dehydrogenase I subunit 3 [EC:1.6.5.3]; NAD(P)H-quinone oxidoreductase subunit 3 [EC:1.6.5.3]
K10201	32.0	18.0	24.0	32.0	42.0	43.0	0.0	N-acetylglucosamine transport system permease protein
K07176	0.0	1.0	1.0	2.0	1.0	2.0	0.0	putative serine/threonine protein kinase
K07177	117.0	132.0	158.0	203.0	249.0	199.0	0.0	PDZ domain-containing protein
K07174	2.0	2.0	1.0	6.0	4.0	4.0	0.0	Mn2+-dependent serine/threonine protein kinase [EC:2.7.1.-]
K07175	130.0	124.0	155.0	179.0	342.0	232.0	0.0	PhoH-like ATPase
K07172	159.0	221.0	201.0	272.0	275.0	183.0	0.0	None
K07173	45.0	11.0	15.0	27.0	37.0	69.0	0.0	S-ribosylhomocysteine lyase [EC:4.4.1.21]
K07170	215.0	209.0	142.0	290.0	228.0	156.0	0.0	GAF domain-containing protein
K07171	484.0	493.0	420.0	816.0	781.0	621.0	0.0	None
K07178	151.0	109.0	83.0	143.0	174.0	130.0	0.0	RIO kinase 1 [EC:2.7.11.1]
K07179	1.0	1.0	0.0	2.0	2.0	1.0	0.0	RIO kinase 2 [EC:2.7.11.1]
K00195	0.0	0.0	0.0	0.0	1.0	0.0	0.0	acetyl-CoA decarbonylase/synthase complex subunit epsilon; carbon-monoxide dehydrogenase epsilon subunit [EC:1.2.99.2]
K00194	91.0	82.0	75.0	113.0	108.0	120.0	0.0	acetyl-CoA decarbonylase/synthase complex subunit delta; carbon-monoxide dehydrogenase delta subunit [EC:1.2.99.2]
K00197	95.0	88.0	80.0	122.0	118.0	131.0	0.0	carbon-monoxide dehydrogenase gamma subunit [EC:1.2.99.2]; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.-]
K00196	30.0	52.0	29.0	43.0	53.0	24.0	0.0	carbon-monoxide dehydrogenase iron sulfur subunit
K00191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	CO-methylating acetyl-CoA synthase [EC:2.3.1.169]
K00190	40.0	40.0	60.0	53.0	89.0	82.0	0.0	carbon monoxide dehydrogenase / acetyl-CoA synthase subunit beta [EC:1.2.7.4 1.2.99.2 2.3.1.169]
K00193	0.0	0.0	0.0	0.0	1.0	0.0	0.0	acetyl-CoA decarbonylase/synthase complex subunit beta [EC:2.3.1.-]; carbon-monoxide dehydrogenase beta subunit [EC:1.2.99.2]
K00192	0.0	0.0	0.0	0.0	1.0	0.0	0.0	acetyl-CoA decarbonylase/synthase complex subunit alpha [EC:1.2.99.2]; carbon-monoxide dehydrogenase alpha subunit [EC:1.2.99.2]
K00198	75.0	78.0	60.0	85.0	108.0	123.0	0.0	carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.99.2]
K06405	51.0	25.0	31.0	60.0	63.0	88.0	0.0	stage V sporulation protein AC
K10109	80.0	70.0	71.0	104.0	176.0	137.0	0.0	maltose/maltodextrin transport system permease protein
K10108	98.0	75.0	86.0	110.0	184.0	169.0	0.0	maltose/maltodextrin transport system substrate-binding protein
K10107	35.0	39.0	29.0	40.0	75.0	40.0	0.0	capsular polysaccharide transport system permease protein
K01828	3.0	6.0	3.0	28.0	8.0	3.0	0.0	None
K01829	21.0	23.0	39.0	22.0	98.0	58.0	0.0	protein disulfide-isomerase [EC:5.3.4.1]
K01826	60.0	72.0	46.0	148.0	96.0	61.0	0.0	5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]
K01825	15.0	28.0	21.0	10.0	82.0	33.0	0.0	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
K01822	28.0	31.0	36.0	40.0	108.0	52.0	0.0	steroid delta-isomerase [EC:5.3.3.1]
K01823	211.0	186.0	149.0	287.0	314.0	211.0	0.0	isopentenyl-diphosphate delta-isomerase [EC:5.3.3.2]
K01820	99.0	144.0	148.0	126.0	346.0	178.0	0.0	None
K01821	240.0	320.0	318.0	396.0	522.0	328.0	0.0	4-oxalocrotonate tautomerase [EC:5.3.2.-]
K00999	10.0	9.0	22.0	8.0	37.0	27.0	0.0	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [EC:2.7.8.11]
K00998	363.0	421.0	409.0	544.0	704.0	516.0	0.0	phosphatidylserine synthase [EC:2.7.8.8]
K00995	1621.0	1669.0	1483.0	2491.0	2483.0	1946.0	0.0	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]
K00997	596.0	639.0	589.0	903.0	1019.0	736.0	0.0	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
K00996	8.0	13.0	7.0	7.0	15.0	8.0	0.0	undecaprenyl-phosphate galactose phosphotransferase [EC:2.7.8.6]
K00991	584.0	625.0	537.0	863.0	968.0	728.0	0.0	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00990	264.0	319.0	314.0	417.0	555.0	371.0	0.0	[protein-PII] uridylyltransferase [EC:2.7.7.59]
K00992	11.0	18.0	17.0	24.0	38.0	15.0	0.0	None
K11028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	vacuolating cytotoxin
K02622	107.0	137.0	128.0	135.0	278.0	163.0	0.0	topoisomerase IV subunit B [EC:5.99.1.-]
K02625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MFS transporter, MHS family, dicarboxylic acid transporter PcaT
K03564	1079.0	1164.0	1016.0	1593.0	1921.0	1295.0	0.0	peroxiredoxin Q/BCP [EC:1.11.1.15]
K13489	18.0	27.0	42.0	15.0	109.0	65.0	0.0	chemotaxis-related protein WspD
K13488	8.0	6.0	17.0	4.0	46.0	33.0	0.0	chemotaxis-related protein WspB
K13483	264.0	343.0	318.0	399.0	554.0	354.0	0.0	xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13482	83.0	92.0	88.0	84.0	149.0	91.0	0.0	xanthine dehydrogenase large subunit [EC:1.17.1.4]
K13481	72.0	84.0	81.0	67.0	136.0	82.0	0.0	xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	xanthine dehydrogenase iron-sulfur-binding subunit
K13487	7.0	6.0	17.0	3.0	46.0	31.0	0.0	methyl-accepting chemotaxis protein WspA
K13486	18.0	27.0	42.0	15.0	109.0	65.0	0.0	chemotaxis protein methyltransferase WspC
K14680	0.0	0.0	0.0	1.0	0.0	1.0	0.0	RNA ligase [EC:6.5.1.3]
K14681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1]
K14682	30.0	34.0	44.0	26.0	120.0	74.0	0.0	amino-acid N-acetyltransferase [EC:2.3.1.1]
K08358	14.0	13.0	12.0	14.0	41.0	32.0	0.0	tetrathionate reductase subunit B
K08357	10.0	7.0	8.0	10.0	18.0	19.0	0.0	tetrathionate reductase subunit A
K08356	0.0	0.0	0.0	1.0	1.0	0.0	0.0	arsenite oxidase large subunit [EC:1.20.98.1]
K08355	0.0	0.0	0.0	1.0	1.0	0.0	0.0	arsenite oxidase small subunit [EC:1.20.98.1]
K03469	595.0	645.0	601.0	863.0	1069.0	774.0	0.0	ribonuclease HI [EC:3.1.26.4]
K03462	0.0	0.0	0.0	2.0	2.0	1.0	0.0	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
K03464	67.0	63.0	47.0	167.0	98.0	80.0	0.0	muconolactone D-isomerase [EC:5.3.3.4]
K03465	238.0	237.0	170.0	316.0	368.0	268.0	0.0	thymidylate synthase (FAD) [EC:2.1.1.148]
K03466	902.0	950.0	920.0	1348.0	1594.0	1226.0	0.0	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
K01648	2.0	4.0	6.0	22.0	6.0	6.0	0.0	ATP citrate (pro-S)-lyase [EC:2.3.3.8]
K01649	1173.0	1175.0	1073.0	1681.0	2002.0	1503.0	0.0	2-isopropylmalate synthase [EC:2.3.3.13]
K01643	118.0	165.0	123.0	222.0	177.0	98.0	0.0	citrate lyase subunit alpha / citrate CoA-transferase [EC:4.1.3.6 2.8.3.10]; citrate lyase subunit alpha [EC:4.1.3.6]
K01640	453.0	506.0	458.0	803.0	775.0	558.0	0.0	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
K01641	21.0	17.0	11.0	14.0	55.0	31.0	0.0	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
K01646	5.0	0.0	4.0	4.0	9.0	5.0	0.0	citrate lyase subunit gamma [EC:4.1.3.6]
K01647	1144.0	1123.0	1032.0	1690.0	1827.0	1403.0	0.0	citrate synthase [EC:2.3.3.1]
K01644	1006.0	1038.0	905.0	1725.0	1634.0	1218.0	0.0	citrate lyase subunit beta [EC:4.1.3.6]; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.6 4.1.3.34]
K02597	34.0	39.0	30.0	41.0	88.0	48.0	0.0	nitrogen fixation protein NifZ
K02626	176.0	266.0	203.0	313.0	300.0	196.0	0.0	arginine decarboxylase [EC:4.1.1.19]
K02595	30.0	37.0	27.0	42.0	61.0	36.0	0.0	nitrogen fixation protein NifW
K02594	40.0	54.0	43.0	81.0	134.0	62.0	0.0	homocitrate synthase NifV
K02593	19.0	23.0	18.0	20.0	44.0	23.0	0.0	nitrogen fixation protein NifT
K02592	37.0	41.0	38.0	51.0	89.0	48.0	0.0	nitrogenase molybdenum-iron protein NifN
K02591	73.0	84.0	93.0	109.0	187.0	143.0	0.0	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
K02590	17.0	17.0	25.0	43.0	36.0	50.0	0.0	nitrogen regulatory protein PII 2
K02598	54.0	65.0	37.0	76.0	75.0	59.0	0.0	nitrite transporter NirC
K02849	46.0	24.0	40.0	58.0	55.0	67.0	0.0	heptosyltransferase III [EC:2.4.-.-]
K14061	1.0	0.0	2.0	0.0	8.0	1.0	0.0	universal stress protein F
K14062	1.0	0.0	0.0	0.0	14.0	0.0	0.0	outer membrane protein N
K14063	1.0	0.0	0.0	0.0	8.0	0.0	0.0	AraC family transcriptional regulator, positive regulator of tynA and feaB
K14064	1.0	0.0	0.0	0.0	8.0	0.0	0.0	universal stress protein C
K14065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	universal stress protein D
K14067	7.0	8.0	7.0	6.0	15.0	7.0	0.0	malate-CoA ligase subunit beta [EC:6.2.1.9]
K02841	152.0	234.0	196.0	291.0	276.0	174.0	0.0	heptosyltransferase I [EC:2.4.-.-]
K02840	0.0	1.0	1.0	3.0	3.0	0.0	0.0	UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]
K02843	489.0	550.0	520.0	699.0	837.0	598.0	0.0	heptosyltransferase II [EC:2.4.-.-]
K02844	72.0	105.0	97.0	109.0	192.0	128.0	0.0	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K02847	0.0	0.0	0.0	0.0	8.0	0.0	0.0	O-antigen ligase [EC:6.-.-.-]
K02846	1.0	0.0	0.0	0.0	8.0	0.0	0.0	N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
K02102	16.0	6.0	7.0	8.0	16.0	25.0	0.0	arabinose operon protein AraM
K09758	3.0	2.0	3.0	6.0	9.0	6.0	0.0	aspartate 4-decarboxylase [EC:4.1.1.12]
K06039	47.0	68.0	70.0	70.0	105.0	77.0	0.0	uncharacterized protein involved in oxidation of intracellular sulfur
K06034	8.0	7.0	7.0	10.0	17.0	16.0	0.0	sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79]
K06036	1.0	3.0	3.0	1.0	3.0	2.0	0.0	None
K06037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	None
K06032	0.0	0.0	1.0	0.0	0.0	0.0	0.0	None
K01581	51.0	70.0	68.0	80.0	137.0	75.0	0.0	ornithine decarboxylase [EC:4.1.1.17]
K02702	0.0	5.0	2.0	3.0	13.0	3.0	0.0	photosystem I 4.8kDa protein
K02659	9.0	26.0	22.0	14.0	96.0	27.0	0.0	twitching motility protein PilI
K13490	34.0	40.0	52.0	24.0	148.0	93.0	0.0	two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE
K13491	18.0	27.0	42.0	15.0	109.0	65.0	0.0	two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]
K03644	681.0	731.0	615.0	1024.0	1121.0	761.0	0.0	lipoic acid synthetase [EC:2.8.1.8]
K03645	2.0	3.0	3.0	0.0	18.0	0.0	0.0	negative modulator of initiation of replication
K03646	40.0	48.0	42.0	76.0	102.0	63.0	0.0	colicin import membrane protein
K03647	12.0	10.0	7.0	20.0	31.0	14.0	0.0	protein involved in ribonucleotide reduction
K03640	262.0	322.0	329.0	397.0	514.0	384.0	0.0	peptidoglycan-associated lipoprotein
K03641	464.0	483.0	413.0	709.0	697.0	508.0	0.0	TolB protein
K03642	383.0	500.0	446.0	631.0	714.0	476.0	0.0	rare lipoprotein A
K03643	44.0	51.0	52.0	51.0	118.0	65.0	0.0	LPS-assembly lipoprotein
K03648	328.0	299.0	276.0	377.0	587.0	443.0	0.0	uracil-DNA glycosylase [EC:3.2.2.-]; uracil-DNA glycosylase [EC:3.2.2.27]
K03649	122.0	184.0	144.0	249.0	209.0	143.0	0.0	TDG/mug DNA glycosylase family protein [EC:3.2.2.-]
K06694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26S proteasome non-ATPase regulatory subunit 10
K11814	0.0	0.0	0.0	0.0	1.0	0.0	0.0	multidrug resistance protein EbrA
K12428	12.0	12.0	8.0	40.0	28.0	13.0	0.0	fatty acid CoA ligase FadD32
K12429	51.0	58.0	30.0	155.0	85.0	49.0	0.0	fatty acid CoA ligase FadD36
K12422	0.0	1.0	0.0	10.0	0.0	0.0	0.0	long chain fatty acid CoA ligase FadD10 [EC:6.2.1.-]
K12423	4.0	6.0	4.0	17.0	13.0	2.0	0.0	fatty acid CoA ligase FadD21
K12420	2.0	5.0	3.0	4.0	4.0	3.0	0.0	ketoreductase [EC:1.1.1.-]; ketoacyl reductase [EC:1.3.1.-]
K12421	8.0	12.0	6.0	26.0	29.0	4.0	0.0	fatty acid CoA ligase FadD9
K12426	2.0	6.0	4.0	16.0	12.0	2.0	0.0	long chain fatty acid CoA FadD26
K12427	1.0	2.0	0.0	10.0	2.0	0.0	0.0	fatty acid CoA ligase FadD28
K12424	0.0	1.0	0.0	10.0	0.0	0.0	0.0	fatty acid CoA ligase FadD22
K12425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	fatty acid CoA ligase FadD23
K07349	4.0	0.0	0.0	0.0	8.0	1.0	0.0	minor fimbrial subunit
K07348	1.0	0.0	0.0	0.0	14.0	0.0	0.0	minor fimbrial subunit
